"","cluster","domesticated","taxon.name"
"Philantomba_monticola",20,FALSE,"Philantomba_monticola"
"Potamochoerus_larvatus",2,FALSE,"Potamochoerus_larvatus"
"Potamochoerus_porcus",20,FALSE,"Potamochoerus_porcus"
"Procapra_picticaudata",11,FALSE,"Procapra_picticaudata"
"Pseudois_nayaur",18,FALSE,"Pseudois_nayaur"
"Pudu_puda",25,FALSE,"Pudu_puda"
"Rangifer_tarandus",3,TRUE,"Rangifer_tarandus"
"Raphicerus_campestris",1,FALSE,"Raphicerus_campestris"
"Raphicerus_melanotis",4,FALSE,"Raphicerus_melanotis"
"Raphicerus_sharpei",1,FALSE,"Raphicerus_sharpei"
"Redunca_arundinum",1,FALSE,"Redunca_arundinum"
"Redunca_fulvorufula",23,FALSE,"Redunca_fulvorufula"
"Redunca_redunca",22,FALSE,"Redunca_redunca"
"Rhinoceros_unicornis",6,FALSE,"Rhinoceros_unicornis"
"Rucervus_duvaucelii",6,FALSE,"Rucervus_duvaucelii"
"Rupicapra_pyrenaica",17,FALSE,"Rupicapra_pyrenaica"
"Rupicapra_rupicapra",14,FALSE,"Rupicapra_rupicapra"
"Rusa_timorensis",26,FALSE,"Rusa_timorensis"
"Rusa_unicolor",6,FALSE,"Rusa_unicolor"
"Sus_barbatus",27,FALSE,"Sus_barbatus"
"Sus_cebifrons",6,FALSE,"Sus_cebifrons"
"Sus_scrofa",7,TRUE,"Sus_scrofa"
"Sylvicapra_grimmia",22,FALSE,"Sylvicapra_grimmia"
"Syncerus_caffer",2,FALSE,"Syncerus_caffer"
"Tapirus_bairdii",10,FALSE,"Tapirus_bairdii"
"Tapirus_pinchaque",25,FALSE,"Tapirus_pinchaque"
"Tapirus_terrestris",28,FALSE,"Tapirus_terrestris"
"Taurotragus_oryx",2,FALSE,"Taurotragus_oryx"
"Tayassu_pecari",10,FALSE,"Tayassu_pecari"
"Tragelaphus_angasii",1,FALSE,"Tragelaphus_angasii"
"Tragelaphus_buxtoni",21,FALSE,"Tragelaphus_buxtoni"
"Tragelaphus_eurycerus",12,FALSE,"Tragelaphus_eurycerus"
"Tragelaphus_imberbis",2,FALSE,"Tragelaphus_imberbis"
"Tragelaphus_scriptus",2,FALSE,"Tragelaphus_scriptus"
"Tragelaphus_spekii",20,FALSE,"Tragelaphus_spekii"
"Tragelaphus_strepsiceros",1,FALSE,"Tragelaphus_strepsiceros"
"Tragulus_kanchil",10,FALSE,"Tragulus_kanchil"
"Tragulus_napu",12,FALSE,"Tragulus_napu"
"Vicagna_vicugna",24,TRUE,"Vicagna_vicugna"
