taxon_name	biomes	Boreal Forests/Taiga	Deserts & Xeric Shrublands	Flooded Grasslands & Savannas	Mangroves	Mediterranean Forests, Woodlands & Scrub	Montane Grasslands & Shrublands	Temperate Broadleaf & Mixed Forests	Temperate Conifer Forests	Temperate Grasslands, Savannas & Shrublands	Tropical & Subtropical Coniferous Forests	Tropical & Subtropical Dry Broadleaf Forests	Tropical & Subtropical Grasslands, Savannas & Shrublands	Tropical & Subtropical Moist Broadleaf Forests	Tundra
Ourebia ourebi	1	0	0	0	0	0	0	0	0	0	0	0	402	0	0
Ovibos moschatus	2	1	0	0	0	0	0	0	0	0	0	0	0	0	44
Ovis ammon	5	1	4	0	0	0	8	0	2	3	0	0	0	0	0
Ovis aries orientalis	4	0	5	0	0	0	4	1	1	0	0	0	0	0	0
Ovis canadensis	4	0	193	0	0	8	0	0	100	3	0	0	0	0	0
Ovis dalli	2	7	0	0	0	0	0	0	0	0	0	0	0	0	64
Ozotoceros bezoarticus	3	0	0	5	0	0	0	0	0	13	0	0	6	0	0
Pecari tajacu	9	0	134	0	5	0	0	1	3	14	40	61	35	244	0
Pelea capreolus	4	0	3	0	0	29	1	0	0	0	0	0	6	0	0
Phacochoerus aethiopicus	4	0	8	0	0	0	2	0	0	0	0	0	72	2	0
Phacochoerus africanus	5	0	16	15	0	0	4	0	0	0	0	0	594	10	0
Philantomba maxwellii	1	0	0	0	0	0	0	0	0	0	0	0	0	247	0
Philantomba monticola	5	0	0	0	1	5	1	0	0	0	0	0	14	70	0
Potamochoerus larvatus	4	0	0	0	0	13	1	0	0	0	0	0	19	8	0
Potamochoerus porcus	2	0	0	0	0	0	0	0	0	0	0	0	15	91	0
Procapra picticaudata	2	0	0	0	0	0	16	1	0	0	0	0	0	0	0
Pseudois nayaur	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0
Pudu puda	1	0	0	0	0	0	0	94	0	0	0	0	0	0	0
Rangifer tarandus	2	4	0	0	0	0	0	0	0	0	0	0	0	0	40
Raphicerus campestris	5	0	82	15	0	21	1	0	0	0	0	0	170	0	0
Raphicerus melanotis	1	0	0	0	0	29	0	0	0	0	0	0	0	0	0
Raphicerus sharpei	2	0	0	1	0	0	0	0	0	0	0	0	39	0	0
Redunca arundinum	4	0	0	15	0	0	1	0	0	0	0	0	31	23	0
Redunca fulvorufula	4	0	2	0	0	3	7	0	0	0	0	0	21	0	0
Redunca redunca	1	0	0	0	0	0	0	0	0	0	0	0	514	0	0
Rhinoceros unicornis	2	0	0	0	0	0	0	0	0	0	0	0	5	9	0
Rucervus duvaucelii	2	0	0	0	0	0	0	0	0	0	0	0	1	13	0
Rupicapra pyrenaica	1	0	0	0	0	0	0	203	0	0	0	0	0	0	0
Rupicapra rupicapra	3	0	0	0	0	12	0	15	83	0	0	0	0	0	0
Rusa timorensis	4	0	0	0	0	0	0	379	0	0	0	39	8	86	0
Rusa unicolor	7	0	1	0	0	0	0	3	1	0	3	36	2	49	0
Sus barbatus	2	0	0	0	3	0	0	0	0	0	0	0	0	16	0
Sus cebifrons	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Sus philippensis	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Sus scrofa	3	0	0	0	0	28	0	20	0	39	0	0	0	0	0
Sylvicapra grimmia	5	0	8	2	0	0	6	0	0	0	0	0	510	4	0
Syncerus caffer	5	0	1	13	0	0	2	0	0	0	0	0	548	35	0
Tapirus bairdii	5	0	0	0	2	0	0	0	0	0	9	4	3	183	0
Tapirus pinchaque	2	0	0	0	0	0	5	0	0	0	0	0	0	5	0
Tapirus terrestris	4	0	0	5	0	0	0	0	0	0	0	1	16	655	0
Taurotragus oryx	6	0	13	4	0	6	3	0	0	0	0	0	69	4	0
Tayassu pecari	5	0	0	9	9	0	0	0	0	0	0	4	42	252	0
Tragelaphus angasii	2	0	0	0	0	0	0	0	0	0	0	0	102	79	0
Tragelaphus buxtoni	2	0	0	0	0	0	13	0	0	0	0	0	0	2	0
Tragelaphus eurycerus	2	0	0	0	0	0	0	0	0	0	0	0	1	54	0
Tragelaphus imberbis	3	0	0	2	0	0	0	0	0	0	0	0	58	1	0
Tragelaphus scriptus	6	0	2	8	0	43	13	0	0	0	0	0	460	57	0
Tragelaphus spekii	3	0	0	1	0	0	0	0	0	0	0	0	28	15	0
Tragelaphus strepsiceros	6	0	84	41	0	30	4	0	0	0	0	0	372	42	0
Tragulus javanicus	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Tragulus kanchil	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0
Tragulus napu	2	0	0	0	2	0	0	0	0	0	0	0	0	11	0
Vicagna vicugna	3	0	2	0	0	0	8	0	0	0	0	0	0	2	0
