"","species","n","AUC","important_variables"
"67","Hippocamelus_bisulcus",15,0.9714,"36,24,3,13,25,23,18,15,34,8,22,6,20,27"
"68","Hippopotamus_amphibius",423,0.9052,"11,12,15,18,24,29,30,2,40,25,14,10,21,19,38,5,23,20,22"
"69","Hippotragus_equinus",882,0.9776,"41,6,17,16,24,22,19,23,10,27,21,20,32,38,9,25,40"
"70","Hippotragus_niger",75,0.8918,"35,32,16,7,39,40,20,17,31,4,36,23,24,22,27,18,25,21"
"71","Hyemoschus_aquaticus",31,0.9848,"17,22,4,20,24,19,38,1,9,25,2,8,13,21,23,27"
"72","Hylochoerus_meinertzhageni",34,0.9748,"14,12,20,22,30,25,21,18,19,27,7,36,29,23,6,13,24,40"
"73","Kobus_ellipsiprymnus",460,0.8501,"35,15,13,24,18,17,40,21,9,7,22,3,5,20,25,19,23,26,8"
"74","Kobus_kob",817,0.9634,"41,19,6,17,22,21,26,20,2,13,24,23,27,25,40"
"75","Kobus_leche",52,0.9582,"5,14,3,25,32,12,30,41,7,10,20,21,23,22,24,15,18,19,40"
"76","Kobus_megaceros",59,0.9938,"17,4,25,19,6,23,21,24,20,2,5,16,33,22,26,31,40"
"77","Kobus_vardonii",59,0.9754,"15,17,26,3,25,29,18,24,5,22,23,35,32,2,10,21,19,20,36,40"
"78","Lama_glama_guanicoe",272,0.9136,"8,2,37,33,14,25,32,15,4,24,23,22,27,20,7,21"
"79","Litocranius_walleri",185,0.9714,"31,1,19,4,20,33,7,30,16,24,18,21,22,23,25,17,38,40"
"80","Madoqua_guentheri",34,0.9619,"2,30,34,16,20,19,25,18,21,23,29,38,33,24,22,32,1,40"
"81","Madoqua_kirkii",162,0.921,"32,24,19,35,10,22,27,34,29,20,18,25,21,15,2,41,40,5,23"
"82","Madoqua_saltiana",26,0.938,"30,15,19,8,9,24,25,11,20,28,12,2,39,21,17,22,1,18,23,38,40"
"83","Mazama_americana",536,0.8715,"19,3,2,32,12,18,24,1,8,22,23,21,20,31,29,25"
"84","Mazama_gouazoubira",274,0.8842,"2,28,19,7,22,31,16,18,24,5,15,25,36,21,20,23"
"85","Mazama_nana",71,0.9992,"12,2,21,15,41,5,22,4,23,20,24,8,16,25,27,40"
"86","Mazama_pandora",73,0.9651,"24,27,38,25,18,14,13,4,20,23,8,26,7,19,21,22,28,40"
"87","Mazama_rufina",17,0.9733,"30,23,40,3,29,2,13,24,17,25,20,22,27,32"
"88","Mazama_temama",96,0.901,"23,30,2,12,17,24,40,22,25,15,36,31,38,5,20"
"89","Muntiacus_muntjak",48,0.8646,"33,16,32,25,27,23,19,3,21,20,22,29,2,24"
"90","Muntiacus_reevesi",524,0.9583,"29,18,16,15,34,9,22,3,31,23,26,24,20,1,10,25"
"91","Nanger_granti",752,0.9519,"36,19,29,4,35,22,16,24,30,7,25,27,14,20,18,21,23,40"
"92","Nanger_soemmerringii",13,0.9927,"15,2,7,21,3,29,24,38,20,14,33,27,25,8,23,11,28,18,22,40"
"93","Neotragus_batesi",15,0.9179,"2,19,32,21,23,24,16,25,29,38,15,20,9,6,10,12,22,40"
"94","Neotragus_pygmaeus",54,0.9557,"14,22,3,10,24,27,35,21,31,19,9,29,25,23,20,26"
"95","Odocoileus_hemionus",842,0.8603,"4,29,18,32,15,11,25,41,30,23,22,24,9,17,20,35"
"96","Odocoileus_virginianus",762,0.8184,"6,32,15,29,28,30,5,22,25,14,23,18,24,20"
"97","Oreamnos_americanus",221,0.9483,"8,32,12,25,31,34,17,2,11,24,15,23,22,20,27"
"98","Oreotragus_oreotragus",213,0.917,"12,8,25,21,9,29,24,5,40,34,15,16,23,7,17,27,22,20,19,18"
"99","Oryx_beisa",133,0.9765,"3,2,19,33,16,30,27,36,22,18,29,21,25,20,24,14,23,40"
"100","Oryx_gazella",255,0.912,"12,14,28,15,40,20,9,22,32,27,3,39,30,38,24,29,5,21,23,25"
"101","Oryx_leucoryx",13,0.9289,"4,22,20,15,9,14,8,3,10,12,21,23,24,25,28,38"
"102","Ourebia_ourebi",402,0.9775,"41,33,14,6,8,10,19,21,20,22,9,23,27,24,18,38,25"
"103","Ovibos_moschatus",47,0.8288,"24,2,32,15,26,22,34,20,27,6,25,23"
"104","Ovis_ammon",19,0.8607,"37,33,2,22,25,17,12,9,19,8,23,32,15,20,3,5,24,30"
"105","Ovis_aries_orientalis",11,0.9209,"17,29,25,3,22,2,36,18,19,24,23,7,20,21,27,30,32,41"
"106","Ovis_canadensis",304,0.91,"25,16,9,32,15,4,40,17,8,6,21,30,2,20,39,22,18,24"
"107","Ovis_dalli",71,0.8989,"21,24,4,15,22,29,19,39,3,2,5,41,25,20"
"108","Ozotoceros_bezoarticus",24,0.834,"29,4,25,24,21,18,2,23,15,5,22,27,20,19,17,11,28,35"
"109","Pecari_tajacu",537,0.8514,"8,32,29,41,22,34,25,23,27,28,16,24,10,19,18,15,21,20"
"110","Pelea_capreolus",39,0.9789,"29,17,40,31,21,11,27,15,20,23,35,22,25,2,6,7,24"
"111","Phacochoerus_aethiopicus",85,0.8441,"12,15,30,18,19,2,24,23,14,21,37,8,22,20,29,40,26,25,5"
"112","Phacochoerus_africanus",639,0.835,"24,18,7,15,14,10,13,29,22,40,41,19,3,26,25,23,20,21,31"
"113","Philantomba_maxwellii",247,0.981,"14,22,24,30,41,20,19,28,16,29,9,25,21,23,38"
"114","Philantomba_monticola",94,0.9471,"14,28,13,25,19,18,29,24,3,31,20,40,12,26,39,23,21,22,36"
"115","Potamochoerus_larvatus",41,0.8978,"27,31,2,40,24,23,16,39,18,21,12,20,25,22,29,9,4,14,15,19"
"116","Potamochoerus_porcus",106,0.9544,"17,22,34,19,27,8,16,11,25,6,23,21,20,26,36,24"
"117","Procapra_picticaudata",17,0.9187,"39,32,17,19,21,22,20,24,29,11,16,25,3,15,23,30"
"118","Pseudois_nayaur",17,0.9435,"1,15,24,32,4,3,17,22,12,23,8,2,21,20,25,29"
"119","Pudu_puda",94,0.985,"16,24,15,29,14,6,23,21,3,25,22,39,9,28,20"
"120","Rangifer_tarandus",44,0.9576,"39,3,15,20,23,38,4,22,29,5,25,12,9,24"
"121","Raphicerus_campestris",289,0.8491,"24,34,29,40,32,18,20,26,21,25,23,19,3,7,5,41,15,27,8,22"
"122","Raphicerus_melanotis",29,0.9774,"29,19,34,15,9,23,3,14,5,21,20,25,36,6,16,22,24,40"
"123","Raphicerus_sharpei",40,0.9356,"10,12,32,2,21,3,22,25,18,19,40,27,23,20,28,24,5,9,15"
"124","Redunca_arundinum",70,0.9145,"32,3,35,21,10,25,20,40,1,23,24,22,15,27,31,18,28,7,17,19"
"125","Redunca_fulvorufula",33,0.9451,"9,32,24,19,5,40,10,7,20,15,25,13,29,22,27,18,2,21,23"
"126","Redunca_redunca",514,0.9653,"11,19,14,7,29,27,31,6,16,22,23,20,24,21,26,25,36,40"
"127","Rhinoceros_unicornis",14,0.9749,"10,13,3,24,4,30,25,22,32,20,14,23,15,21"
"128","Rucervus_duvaucelii",14,0.9785,"33,39,21,32,20,25,2,12,24,30,22,14,7,15,23,29"
"129","Rupicapra_pyrenaica",203,0.9938,"36,26,28,3,33,15,24,27,29,16,4,25,21,20,22"
"130","Rupicapra_rupicapra",110,0.9793,"8,40,25,30,24,13,27,12,3,20,4,15,23,22,5"
"131","Rusa_timorensis",545,0.9785,"28,14,27,40,23,22,15,25,13,5,9,11,24,20,21"
"132","Rusa_unicolor",95,0.8826,"1,32,25,13,15,29,12,21,17,22,30,18,2,23,10,20,24"
"133","Sus_barbatus",21,0.9578,"35,17,26,2,34,13,25,19,24,28,23,22,20,40"
"134","Sus_cebifrons",14,0.9455,"17,6,16,7,26,31,12,22,24,2,18,19,20,23,25,29,30,40"
"135","Sus_scrofa",88,0.9358,"15,28,8,24,36,11,22,25,4,23,12,7,20,14,19"
"136","Sylvicapra_grimmia",530,0.8961,"11,18,12,29,10,24,4,19,5,2,20,26,21,22,40,15,17,25,23"
"137","Syncerus_caffer",599,0.8446,"35,24,32,1,4,8,17,21,22,26,18,40,20,7,28,23,19,25"
"138","Tapirus_bairdii",201,0.9039,"13,30,23,18,27,24,15,38,8,20,7,11,22,25,29,40"
"139","Tapirus_pinchaque",10,0.9954,"38,32,21,33,29,40,7,18,3,20,22,24,25,30"
"140","Tapirus_terrestris",677,0.8621,"30,18,28,20,24,39,27,19,15,25,12,2,21,23,1,22"
"141","Taurotragus_oryx",101,0.8468,"39,13,19,3,27,18,24,35,36,40,28,29,21,14,5,22,25,15,23,20"
"142","Tayassu_pecari",316,0.8515,"2,30,6,35,22,23,31,15,38,18,19,24,8,20,21,29,25"
"143","Tragelaphus_angasii",181,0.9785,"15,10,30,32,40,19,29,35,24,3,21,26,18,20,9,25,22,5,23"
"144","Tragelaphus_buxtoni",15,0.9989,"30,40,37,15,33,19,32,22,18,25,28,20,3,7,21,23,24,27,29"
"145","Tragelaphus_eurycerus",55,0.9773,"14,22,24,25,37,11,6,13,26,29,20,23,5,21,27,35"
"146","Tragelaphus_imberbis",61,0.964,"19,28,35,8,18,20,22,7,4,30,15,24,13,27,21,25,23,40"
"147","Tragelaphus_scriptus",583,0.8401,"35,32,39,7,29,18,3,19,40,22,20,11,15,24,38,31,23,21,25"
"148","Tragelaphus_spekii",44,0.8767,"33,18,2,3,19,25,26,21,17,20,23,13,39,34,28,22,29,24,36,40"
"149","Tragelaphus_strepsiceros",573,0.8865,"29,24,32,34,27,15,40,7,16,21,20,10,22,14,26,18,23,31,36,25"
"150","Tragulus_kanchil",14,0.9269,"16,21,11,2,20,28,29,1,12,14,18,22,24,25,26,27"
"151","Tragulus_napu",13,0.8792,"6,29,26,25,4,2,12,13,18,20,21,22,24,27,28,41"
"152","Vicugna_vicugna",89,0.9567,"5,2,15,27,14,22,28,29,30,25,20,26,21,24,23,16"
