"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Aspect_5deg","BulkDensity_5min","ClayPercentage_5min","OrganicCarbon_5min","PhCaCL_5min","Slope_5deg","PETColdestQuarter","PETDriestQuarter","PETWarmestQuarter","PETWettestQuarter","PETseasonality","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","thermicityIndex"
"Mazama_nana",NA,26.1483,NA,2.4234,6.4105,NA,NA,0.1439,NA,NA,NA,27.283,NA,NA,9.8432,0,NA,NA,NA,2.0557,10.5893,2.5211,2.4107,0.5346,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.6362
"Mazama_pandora",NA,NA,NA,1.4143,NA,NA,0.1203,0.5781,NA,NA,NA,NA,1.9409,2.6708,NA,NA,NA,4.2466,0,1.3987,0,0,0.5954,64.417,5.429,0.2672,11.0435,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8783,NA,0,NA
"Mazama_rufina",NA,2.5929,4.4217,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6393,NA,NA,NA,0.1182,NA,NA,0,NA,0,13.3092,0.9504,0.0348,NA,0,NA,3.2684,68.7591,NA,0,NA,NA,NA,NA,NA,NA,NA,4.906,NA
"Mazama_temama",NA,16.4371,NA,NA,0.0492,NA,NA,NA,NA,NA,NA,12.1857,NA,NA,0.8207,NA,10.0561,NA,NA,0,NA,1.3046,32.7623,2.7049,1.1085,NA,NA,NA,NA,19.8195,0.0898,NA,NA,NA,NA,0.121,NA,0.0718,NA,2.4687,NA
"Muntiacus_muntjak",NA,0,1.7939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1076,NA,NA,2.2103,0.4717,1.7875,0.4563,2.4288,0,5.1498,NA,3.2316,NA,0.046,NA,NA,9.5483,58.7682,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus_reevesi",0.0556,NA,4.1249,NA,NA,NA,NA,NA,9.188,0.0138,NA,NA,NA,NA,13.9815,14.4555,NA,16.1535,NA,0.3599,NA,4.6213,2.0366,0.8907,0,1.6142,NA,NA,17.1194,NA,3.9886,NA,NA,11.3964,NA,NA,NA,NA,NA,NA,NA
"Nanger_granti",NA,NA,NA,15.7341,NA,NA,0.9151,NA,NA,NA,NA,NA,NA,0.6223,NA,5.4751,NA,0.0264,18.0844,0.4831,0.0038,5.9403,0,3.4709,0.6503,NA,0.6299,NA,18.0792,1.2134,NA,NA,NA,NA,8.4568,20.215,NA,NA,NA,0,NA
"Nanger_soemmerringii",NA,18.9057,9.372,NA,NA,NA,9.472,0.2338,NA,NA,0.0368,NA,NA,3.2018,27.2873,NA,NA,0,NA,3.7309,9.3823,0,0.2101,3.9837,0.7562,NA,0.8922,0.0015,5.5515,NA,NA,NA,3.0981,NA,NA,NA,NA,3.884,NA,0,NA
"Neotragus_batesi",NA,53.9511,NA,NA,NA,0,NA,NA,0.0204,0,NA,0,NA,NA,0.0854,1.8674,NA,NA,22.57,0.0823,4.5281,0,3.6766,1.9056,0.8009,NA,NA,NA,0.6515,NA,NA,9.4738,NA,NA,NA,NA,NA,0.3867,NA,0,NA
"Neotragus_pygmaeus",NA,NA,17.4916,NA,NA,NA,NA,NA,0.2329,4.8416,NA,NA,NA,46.4623,NA,NA,NA,NA,0.2471,0,1.2216,21.3362,0.0092,4.3466,0.0563,0,1.4002,NA,0.1977,NA,0.7623,NA,NA,NA,1.3942,NA,NA,NA,NA,NA,NA
"Odocoileus_hemionus",NA,NA,NA,32.2867,NA,NA,NA,NA,0.316,NA,3.1833,NA,NA,NA,4.5972,NA,0.0946,21.4198,NA,0.0212,NA,0.3875,0.5719,0.3771,3.0672,NA,NA,NA,25.0388,0.6914,NA,4.9673,NA,NA,0.0127,NA,NA,NA,NA,NA,2.9672
"Odocoileus_virginianus",NA,NA,NA,NA,1.3964,48.6397,NA,NA,NA,NA,NA,NA,NA,0.4377,5.2452,NA,NA,0.0471,NA,0.001,NA,1.3145,0.4167,0.0091,0.5631,NA,NA,2.8603,3.7152,2.0187,NA,33.3352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oreamnos_americanus",NA,4.1846,NA,NA,NA,NA,NA,16.6738,NA,NA,3.7677,16.1222,NA,NA,2.6169,NA,4.3487,NA,NA,0.0219,NA,0.3972,0.5329,2.6724,14.5549,NA,0.0024,NA,NA,NA,9.2615,16.1599,NA,8.683,NA,NA,NA,NA,NA,NA,NA
"Oreotragus_oreotragus",NA,NA,NA,NA,5.4069,NA,1.6931,15.2019,7.7476,NA,NA,18.2517,NA,NA,2.362,2.0601,1.4847,0.0145,0.2306,0.5177,9.6903,1.1788,1.9908,6.0411,10.8407,NA,1.4391,NA,6.9991,NA,NA,NA,NA,2.771,NA,NA,NA,NA,NA,4.0783,NA
"Oryx_beisa",NA,26.4787,31.1703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0097,NA,4.0259,NA,0.7471,21.3171,0.1893,0.579,0.8278,0,0.1038,0.191,NA,1.1103,NA,0.6429,1.3574,NA,NA,10.4063,NA,NA,0.8435,NA,NA,NA,0,NA
"Oryx_gazella",NA,NA,1.5697,NA,0.3385,NA,NA,NA,2.8428,NA,NA,54.9324,NA,10.7289,4.2615,NA,NA,NA,NA,3.4276,0.1935,2.716,0,0.7716,0,NA,1.8888,5.1112,0.5346,1.3879,NA,2.7029,NA,NA,NA,NA,NA,1.1632,1.4775,3.9514,NA
"Oryx_leucoryx",NA,NA,0.0165,27.1585,NA,NA,NA,6.3272,8.2231,0,NA,0,NA,8.0407,9.8889,NA,NA,NA,NA,19.9963,0,20.3487,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Ourebia_ourebi",NA,NA,NA,NA,NA,11.2859,NA,9.5754,0.9551,4.9954,NA,NA,NA,16.1011,NA,NA,NA,0.3837,2.6235,1.3844,2.2852,1.0221,0.8822,0.5735,0,NA,0.7671,NA,NA,NA,NA,NA,18.9844,NA,NA,NA,NA,0.1186,NA,NA,28.0624
"Ovibos_moschatus",NA,37.6699,NA,NA,NA,0.5114,NA,NA,NA,NA,NA,NA,NA,NA,6.0659,NA,NA,NA,NA,1.1216,NA,1.9163,0.0648,41.7697,0.0846,2.5029,0.7409,NA,NA,NA,NA,6.1759,NA,1.3762,NA,NA,NA,NA,NA,NA,NA
"Ovis_ammon",NA,8.7707,0,NA,0,NA,NA,0.624,1.1573,NA,NA,1.5103,NA,NA,0.0371,NA,2.2748,NA,0.794,0.0018,NA,3.7951,0.5687,0,3.668,NA,NA,NA,NA,0,NA,0.346,13.6192,NA,NA,NA,62.8331,NA,NA,NA,NA
"Ovis_aries_orientalis",NA,2.0379,4.9734,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9262,1.0214,0.2965,0,0,3.5993,0.2473,0.2512,19.81,NA,0,NA,25.5886,0,NA,0,NA,NA,NA,1.2483,NA,NA,NA,NA,0
"Ovis_canadensis",NA,1.3456,NA,4.1648,NA,2.0393,NA,2.9132,5.668,NA,NA,NA,NA,NA,4.9381,24.214,3.1005,0,NA,1.0661,1.7749,0.3706,NA,0,36.8744,NA,NA,NA,NA,1.4817,NA,5.1378,NA,NA,NA,NA,NA,NA,0.7698,4.1411,NA
"Ovis_dalli",NA,1.7655,2.3503,12.6737,1.7297,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0616,NA,NA,NA,3.2141,0.0292,28.0789,6.4217,NA,26.5264,0.2999,NA,NA,NA,6.3325,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0318,NA,0.4848
"Ozotoceros_bezoarticus",NA,3.8218,NA,17.158,2.4041,NA,NA,NA,NA,NA,0,NA,NA,NA,2.7677,NA,0.1978,4.4987,0.2094,0.9271,4.7406,2.3696,3.6063,7.2979,12.3846,NA,0.9353,0,36.681,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"Pecari_tajacu",NA,NA,NA,NA,NA,NA,NA,31.6288,NA,1.6377,NA,NA,NA,NA,0.2514,2.5769,NA,0.4112,1.3974,0.052,0.0659,5.4825,3.7674,2.4674,4.7989,NA,3.4027,2.7656,10.34,NA,NA,14.3226,NA,5.3536,NA,NA,NA,NA,NA,NA,9.2779
"Pelea_capreolus",NA,0,NA,NA,NA,0,0,NA,NA,NA,3.3325,NA,NA,NA,1.3754,NA,18.6424,NA,NA,1.3374,3.5994,0.4983,1.0204,0,0.005,NA,2.5331,NA,54.1055,NA,5.1266,NA,NA,NA,0.7166,NA,NA,NA,NA,7.7074,NA
"Phacochoerus_aethiopicus",NA,4.4856,NA,NA,0,NA,NA,0.7155,NA,NA,NA,26.4755,NA,1.4626,25.6527,NA,NA,9.7688,5.6447,0.6413,1.1956,0.6946,1.4874,3.0184,0.043,0.0694,NA,NA,0.4073,16.9273,NA,NA,NA,NA,NA,NA,1.0083,NA,NA,0.302,NA
"Phacochoerus_africanus",NA,NA,1.1195,NA,NA,NA,15.8589,NA,NA,6.2295,NA,NA,5.1148,7.5176,8.1086,NA,NA,17.5285,2.7439,0,0,4.4043,0.2162,18.6658,0.6145,0.6274,NA,NA,4.6801,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3.3824,3.1879
"Philantomba_maxwellii",NA,NA,NA,NA,NA,NA,NA,NA,0.1233,NA,NA,NA,NA,53.2149,NA,0.6167,NA,NA,1.73,2.1053,0.0301,15.8937,0.022,15.874,0.0643,NA,NA,0.9123,0.5911,5.6293,NA,NA,NA,NA,NA,NA,NA,0.0183,NA,NA,3.1747
"Philantomba_monticola",NA,NA,1.9433,NA,NA,NA,NA,NA,NA,NA,NA,0.6684,13.5977,43.9379,NA,NA,NA,2.725,2.772,1.4567,0.0669,0.0554,0.1305,2.109,7.1015,0.3438,NA,17.9322,2.5683,NA,1.4874,NA,NA,NA,NA,0.0198,NA,NA,0.1863,0.8977,NA
"Potamochoerus_larvatus",NA,12.889,NA,0,NA,NA,NA,NA,0.0805,NA,NA,0.3576,NA,0,0,5.7468,NA,0.7275,0,0.2421,0.4005,0.1708,6.5776,8.9293,0.235,NA,29.9551,NA,0.0982,NA,21.6005,NA,NA,NA,NA,NA,NA,NA,2.4222,9.5673,NA
"Potamochoerus_porcus",NA,NA,NA,NA,NA,1.2428,NA,2.5614,NA,NA,1.6378,NA,NA,NA,NA,2.0509,60.5556,NA,4.6644,0.2062,0.5322,16.1537,0.9798,0,1.348,0.1222,2.6802,NA,NA,NA,NA,NA,NA,5.2631,NA,0.0018,NA,NA,NA,NA,NA
"Procapra_picticaudata",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.1566,NA,NA,NA,0,0.0767,4.5189,NA,2.0683,1.1725,1.9829,1.3378,0,1.0759,0.0245,NA,NA,NA,0.5064,0,NA,30.6121,NA,NA,NA,NA,NA,NA,56.4676,NA,NA
"Pseudois_nayaur",51.4395,0.2014,2.7992,5.3087,NA,NA,NA,0.5889,NA,NA,NA,0.9829,NA,NA,13.7727,NA,2.7692,NA,NA,0,0.0838,1.1071,0.6207,13.2684,0,NA,NA,NA,0,NA,NA,7.0574,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pudu_puda",NA,NA,2.4819,NA,NA,3.5397,NA,NA,1.0746,NA,NA,NA,NA,6.2567,18.8365,23.4539,NA,NA,NA,0.0141,2.7944,1.3696,3.0336,19.3079,1.4441,NA,NA,0.2514,14.8925,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2491,NA,NA
"Rangifer_tarandus",NA,NA,15.2044,1.676,0.5557,NA,NA,NA,0.0792,NA,NA,0.2823,NA,NA,10.0029,NA,NA,NA,NA,3.6487,NA,1.083,2.129,0,0.5309,NA,NA,NA,0.7488,NA,NA,NA,NA,NA,NA,NA,NA,1.7698,62.2893,NA,NA
"Raphicerus_campestris",NA,NA,1.4143,NA,1.1525,NA,1.3115,0.7322,NA,NA,NA,NA,NA,NA,1.0068,NA,NA,5.619,1.7663,4.1092,3.2644,0.63,2.0612,24.532,3.0932,3.3956,0.9065,NA,11.9283,NA,NA,6.6324,NA,16.0743,NA,NA,NA,NA,NA,9.3274,1.0429
"Raphicerus_melanotis",NA,NA,1.0002,NA,0.4286,0,NA,NA,1.6228,NA,NA,NA,NA,0.6262,2.6705,0,NA,NA,42.5264,0.0419,0.0863,0,1.5222,0,0.0182,NA,NA,NA,44.9118,NA,NA,NA,NA,4.5438,NA,0.0013,NA,NA,NA,0,NA
"Raphicerus_sharpei",NA,6.6712,4.5684,NA,0.7448,NA,NA,NA,0.0294,33.1415,NA,23.4652,NA,NA,0,NA,NA,2.2203,2.0873,1.0344,5.3484,4.2347,1.0902,0.7701,2.4047,NA,1.7864,0.7881,NA,NA,NA,7.6462,NA,NA,NA,NA,NA,NA,NA,1.9686,NA
"Redunca_arundinum",2.0471,NA,14.9915,NA,NA,NA,0,NA,NA,9.5041,NA,NA,NA,NA,0.2201,NA,0,0.0941,0,4.772,10.2786,0.2368,0.6638,0.575,7.0376,NA,0.2168,0.0037,NA,NA,0.1167,31.234,NA,NA,13.891,NA,NA,NA,NA,4.117,NA
"Redunca_fulvorufula",NA,0,NA,NA,5.2862,NA,1.8403,NA,33.9918,2.025,NA,NA,0.7146,NA,1.3438,NA,NA,0.1584,9.0923,1.4881,0,0.2484,0,11.3288,0.7674,NA,0.2483,NA,0.3916,NA,NA,26.0389,NA,NA,NA,NA,NA,NA,NA,5.0361,NA
"Redunca_redunca",NA,NA,NA,NA,NA,2.5996,5.9213,NA,NA,NA,50.1847,NA,NA,9.6373,NA,2.317,NA,NA,10.1268,1.6652,0.846,2.2068,2.1707,0.9516,0.2083,0.2736,3.4154,NA,4.717,NA,2.6677,NA,NA,NA,NA,0.0911,NA,NA,NA,0,NA
"Rhinoceros_unicornis",NA,NA,17.192,8.2594,NA,NA,NA,NA,NA,24.9805,NA,NA,23.6441,0.039,0,NA,NA,NA,NA,0.0479,0,2.1274,0.0141,11.8518,2.7783,NA,NA,NA,NA,7.5679,NA,1.4977,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rucervus_duvaucelii",NA,1.4894,NA,NA,NA,NA,0.0397,NA,NA,NA,NA,1.2486,NA,0.2836,0,NA,NA,NA,NA,5.8342,10.337,0.3831,0,1.1237,5.0859,NA,NA,NA,0,0.502,NA,6.7131,44.4557,NA,NA,NA,NA,NA,22.5041,NA,NA
"Rupicapra_pyrenaica",NA,NA,6.3534,0.0877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3599,0.9955,NA,NA,NA,0.0156,0.0326,0.0054,NA,2.7253,0.0415,10.5573,1.5744,8.5556,1.2715,NA,NA,NA,4.7761,NA,NA,58.6481,NA,NA,NA,NA,NA
"Rupicapra_rupicapra",NA,NA,1.0863,0.4914,0,NA,NA,56.6158,NA,NA,NA,1.6877,2.6543,NA,0.2365,NA,NA,NA,NA,0.6373,NA,0.0168,0.086,2.8954,3.5353,NA,2.6313,NA,NA,3.1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2917,NA
"Rusa_timorensis",NA,NA,NA,NA,0.9341,NA,NA,NA,0.6095,NA,0.3015,NA,1.002,12.9584,1.4575,NA,NA,NA,NA,0.147,0.0934,3.795,6.2969,0.2895,1.1053,NA,8.3348,55.9595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7158,NA
"Rusa_unicolor",31.8385,1.1121,NA,NA,NA,NA,NA,NA,NA,0.6413,NA,3.5665,11.6905,NA,10.0916,NA,2.5653,1.55,NA,0.56,3.108,2.3622,0.8946,0.1222,11.8768,NA,NA,NA,3.9156,1.7454,NA,12.3593,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus_barbatus",NA,12.4583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.876,NA,NA,NA,21.5291,NA,4.2136,0,NA,0.0755,0.1087,1.6952,5.6678,14.9723,NA,1.115,NA,NA,NA,NA,NA,8.5276,23.761,NA,NA,NA,NA,0,NA
"Sus_cebifrons",NA,0,NA,NA,NA,17.5203,11.3292,NA,NA,NA,NA,0.2149,NA,NA,NA,15.9206,44.2804,0,0,0,NA,0.0674,0,7e-04,0,7.8007,NA,NA,0,0,2.8659,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Sus_scrofa",NA,NA,NA,2.8032,NA,NA,1.7234,11.3832,NA,NA,8.1146,2.2108,NA,0.7499,30.1176,NA,NA,NA,0.0017,1.4009,NA,3.2385,2.2175,9.6092,3.101,NA,NA,14.2499,NA,NA,NA,NA,NA,NA,NA,9.0789,NA,NA,NA,NA,NA
"Sylvicapra_grimmia",NA,2.0708,NA,3.794,2.1425,NA,NA,NA,NA,6.3824,28.9518,12.1966,NA,NA,1.0093,NA,0.2456,16.8696,2.6789,1.5752,1.4543,1.3699,0.0031,4.3897,0.0872,1.5071,NA,NA,12.0279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2443,NA
"Syncerus_caffer",8.1126,NA,NA,7.0047,NA,NA,1.4049,6.7896,NA,NA,NA,NA,NA,NA,NA,NA,4.2903,1.9591,0.1127,1.7054,3.5188,3.2277,0.9145,15.898,0.0165,3.132,NA,1.2791,NA,NA,NA,14.047,NA,NA,24.8589,NA,NA,NA,NA,1.7283,NA
"Tapirus_bairdii",NA,NA,NA,NA,NA,NA,1.4756,2.9833,NA,NA,1.4533,NA,26.0734,NA,4.9405,NA,NA,10.8699,NA,1.8183,NA,0.5172,11.6072,6.3706,0.3536,NA,8.0112,NA,0,19.4296,NA,NA,NA,NA,NA,NA,NA,4.0963,NA,0,NA
"Tapirus_pinchaque",NA,NA,0,NA,NA,NA,0.0963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0086,NA,0,6.4232,0,NA,0,0,NA,NA,NA,2.3982,0,NA,23.8007,5.0669,NA,NA,NA,NA,62.0998,NA,0.1063,NA
"Tapirus_terrestris",0,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3364,NA,NA,0.8939,NA,NA,24.5681,1.7611,11.2281,0.073,0,0.0264,7.7943,0.8338,NA,3.5268,17.7092,NA,25.9717,NA,NA,NA,NA,NA,NA,NA,NA,4.9674,NA,NA
"Taurotragus_oryx",NA,NA,11.5271,NA,0.3332,NA,NA,NA,NA,NA,NA,NA,14.6344,0.5081,0.298,NA,NA,6.2261,13.9997,8e-04,1.2024,0.3278,0.0794,5.2388,0.3254,NA,6.5942,2.2162,1.4352,NA,NA,NA,NA,NA,5.2287,3.7543,NA,NA,23.5074,2.563,NA
"Tayassu_pecari",NA,24.5991,NA,NA,NA,15.2501,NA,1.7893,NA,NA,NA,NA,NA,NA,3.8396,NA,NA,2.9111,2.6613,1.2788,0.8385,4.8808,4.7054,2.2946,0.1314,NA,NA,NA,0.3684,18.4068,4.0786,NA,NA,NA,8.4498,NA,NA,3.5163,NA,NA,NA
"Tragelaphus_angasii",NA,NA,3.0502,NA,0,NA,NA,NA,0.3151,13.7813,NA,NA,NA,NA,30.514,NA,NA,0.7065,5.5662,0.528,1.3422,0.0425,0,4.1922,0.1187,0.7161,NA,NA,5.3043,10.0355,NA,9.9098,NA,NA,4.2097,NA,NA,NA,NA,9.6677,NA
"Tragelaphus_buxtoni",NA,NA,3e-04,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5.6179,NA,NA,0.1664,3.1324,0.0263,0,0.1717,0,0,0.1371,NA,0,0.0921,0,44.6395,NA,0.9419,4.7892,NA,NA,NA,16.6465,NA,NA,23.6387,NA
"Tragelaphus_eurycerus",NA,NA,NA,NA,0,0.457,NA,NA,NA,NA,0.46,NA,0.1413,55.1488,NA,NA,NA,NA,NA,0.004,0,20.6641,2e-04,19.8962,2.3859,0.1295,0,NA,0.0531,NA,NA,NA,NA,NA,0,NA,0.6597,NA,NA,NA,NA
"Tragelaphus_imberbis",NA,NA,NA,4.2449,NA,NA,5.9443,11.932,NA,NA,NA,NA,0.779,NA,2.1759,NA,NA,8.7922,20.9372,6.756,0.4145,6.1776,0.005,1.0425,0.0971,NA,0.6565,15.3925,NA,2.2782,NA,NA,NA,NA,12.3746,NA,NA,NA,NA,0,NA
"Tragelaphus_scriptus",NA,NA,3.6711,NA,NA,NA,10.0317,NA,NA,NA,0.6706,NA,NA,NA,0.6415,NA,NA,8.7614,1.9222,1.4822,0.229,1.7207,0.2987,0.4534,0.1294,NA,NA,NA,9.3505,NA,0.4051,20.2501,NA,NA,21.4871,NA,NA,0.429,16.3095,1.7568,NA
"Tragelaphus_spekii",NA,11.5957,11.0566,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3337,NA,NA,NA,2.2225,14.4026,7.9865,1.838,3.4585,0.4388,1.5127,0.2885,7.8694,7.5076,NA,0.7762,0.3938,NA,NA,NA,25.2111,0.9543,NA,0,NA,NA,1.1536,0,NA
"Tragelaphus_strepsiceros",NA,NA,NA,NA,NA,NA,4.7517,NA,NA,2.163,NA,NA,NA,0.4122,6.8643,3.8706,NA,0.0362,NA,2.7358,3.6198,1.2484,0.0327,14.9917,0.0021,0.1542,7.7315,NA,21.9944,NA,0.0214,14.3369,NA,9.3072,NA,0.0139,NA,NA,NA,5.712,NA
"Tragulus_kanchil",0,8.1501,NA,NA,NA,NA,NA,NA,NA,NA,14.2641,0,NA,0,NA,36.1001,NA,0,NA,6.0305,29.5436,0,NA,0,0,0,0,5.3282,0.5834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragulus_napu",NA,0.2929,NA,0.7753,NA,50.6812,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,0,NA,0,4.0921,6.796,0,0,37.3626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Vicugna_vicugna",NA,17.7144,NA,NA,65.9429,NA,NA,NA,NA,NA,NA,NA,NA,1.549,9.0275,0,NA,NA,NA,0.2614,0.1758,0.9633,0.1291,0.1693,0.2724,0.2111,1.7575,0.8213,0.6303,0.3747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
