"","taxon","trainingAUC","validation"
"109","Pecari tajacu","0.8514","valid"
"110","Pelea capreolus","0.9789","valid"
"111","Phacochoerus aethiopicus","0.8441","valid"
"112","Phacochoerus africanus","0.835","valid"
"113","Philantomba maxwellii","0.981","valid"
"114","Philantomba monticola","0.9471","valid"
"115","Potamochoerus larvatus","0.8978","valid"
"116","Potamochoerus porcus","0.9544","valid"
"117","Procapra picticaudata","0.9187","valid"
"118","Pseudois nayaur","0.9435","valid"
"119","Pudu puda","0.985","valid"
"120","Rangifer tarandus","0.9576","valid"
"121","Raphicerus campestris","0.8491","valid"
"122","Raphicerus melanotis","0.9774","valid"
"123","Raphicerus sharpei","0.9356","valid"
"124","Redunca arundinum","0.9145","valid"
"125","Redunca fulvorufula","0.9451","valid"
"126","Redunca redunca","0.9653","valid"
"127","Rhinoceros unicornis","0.9749","valid"
"128","Rucervus duvaucelii","0.9785","valid"
"129","Rupicapra pyrenaica","0.9938","valid"
"130","Rupicapra rupicapra","0.9793","valid"
"131","Rusa timorensis","0.9785","valid"
"132","Rusa unicolor","0.8826","valid"
"133","Sus barbatus","0.9578","valid"
"134","Sus cebifrons","0.9455","valid"
"135","Sus scrofa","0.9358","valid"
"136","Sylvicapra grimmia","0.8961","valid"
"137","Syncerus caffer","0.8446","valid"
"138","Tapirus bairdii","0.9039","valid"
"139","Tapirus pinchaque","0.9954","valid"
"140","Tapirus terrestris","0.8621","valid"
"141","Taurotragus oryx","0.8468","valid"
"142","Tayassu pecari","0.8515","valid"
"143","Tragelaphus angasii","0.9785","valid"
"144","Tragelaphus buxtoni","0.9989","valid"
"145","Tragelaphus eurycerus","0.9773","valid"
"146","Tragelaphus imberbis","0.964","valid"
"147","Tragelaphus scriptus","0.8401","valid"
"148","Tragelaphus spekii","0.8767","valid"
"149","Tragelaphus strepsiceros","0.8865","valid"
"150","Tragulus kanchil","0.9269","valid"
"151","Tragulus napu","0.8792","valid"
"152","Vicugna vicugna","0.9567","valid"
